scene,experiment,status,pipeline_complete,git_commit,duration_hours,n_train,n_val,latest_epoch,latest_eval_epoch,latest_step,train_metric_rows,val_metric_rows,val_per_image_rows,image_epoch_dirs,periodic_ckpts,best_epoch,best_psnr,best_ssim,best_lpips,final_psnr,final_ssim,final_lpips,errors_count
CanClip,0007_CanClip_NeX_PATCH3c_PAPERDEFAULT_l16_sl12_h384_mlp4_ray8000_w1008_e300_eval5_ckpt10_valimgint5_cv2_login,finished,True,d501d49,3.3181,24,6,300,300,7200,300,60,360,60,30,235,19.23050789300117,,,19.01438764179984,0.8842491382728627,0.413918137550354,0
Ollie,0007_Ollie_NeX_PATCH3c_PAPERDEFAULT_l16_sl12_h384_mlp4_ray8000_w1008_e300_eval5_ckpt10_valimgint5_cv2_login,finished,True,d501d49,4.2836,32,8,300,300,9600,300,60,480,60,30,255,21.223929767435443,,,21.17394707734156,0.8932564888785461,0.5721665024757385,0
flower,0007_flower_NeX_PATCH3c_PAPERDEFAULT_l16_sl12_h384_mlp4_ray8000_w1008_e300_eval5_ckpt10_valimgint5_cv2_login,finished,True,d501d49,3.9542,27,7,300,300,8100,300,60,420,60,30,295,19.116530208385708,,,18.996204249584803,0.677738300863889,0.5543631485530308,0
fortress,0007_fortress_NeX_PATCH3c_PAPERDEFAULT_l16_sl12_h384_mlp4_ray8000_w1008_e300_eval5_ckpt10_valimgint5_cv2_login,finished,True,d501d49,5.5389,33,9,300,300,9900,300,60,540,60,30,145,20.30916606727239,,,20.002338142099703,0.7340859542323727,0.6213541560702853,0
horns,0007_horns_NeX_PATCH3c_PAPERDEFAULT_l16_sl12_h384_mlp4_ray8000_w1008_e300_eval5_ckpt10_valimgint5_cv2_login,finished,True,d501d49,7.6319,49,13,300,300,14700,300,60,780,60,30,295,17.066467988893756,,,16.927814180958197,0.6356545608982012,0.6505562708928034,0
room,0007_room_NeX_PATCH3c_PAPERDEFAULT_l16_sl12_h384_mlp4_ray8000_w1008_e300_eval5_ckpt10_valimgint5_cv2_login,finished,True,d501d49,5.4933,32,9,300,300,9600,300,60,540,60,30,260,19.842765827346074,,,19.821209451753063,0.8072291310634907,0.5471089680989584,0
trex,0007_trex_NeX_PATCH3c_PAPERDEFAULT_l16_sl12_h384_mlp4_ray8000_w1008_e300_eval5_ckpt10_valimgint5_cv2_login,running,False,d501d49,4.9064,44,11,225,220,9900,225,44,484,45,22,215,17.525022756802063,,,17.499151792110627,0.6422901309372283,0.5983411615545099,11
